experiment_no;language;energy-cores;energy-gpu;energy-pkg;energy-psys;total_energy;elapsed_time;accuracy;random_seed
1;cpp;37,22;0,1;44,09;68,61;150,02;3,448162329;0,950407;-2138040316
2;cpp;37,29;0,07;44,19;69,77;151,32;3,451079585;0,952447;1180580282
3;cpp;36,69;0,1;43,39;68,13;148,31;3,469766205;0,950416;-1406995846
4;cpp;35,43;0,1;42,02;66,48;144,03;3,445704357;0,949422;-1385157228
5;cpp;35,43;0,06;41,88;66,2;143,57;3,443962321;0,95126;907199366
6;cpp;35,27;0,06;41,7;66,04;143,07;3,447303942;0,950495;-502988747
7;cpp;35,99;0,06;42,37;66,78;145,2;3,446669662;0,948947;1756678894
8;cpp;35,4;0,08;41,86;66,22;143,56;3,463843542;0,950214;317108997
9;cpp;35,55;0,08;41,92;66,31;143,86;3,446312023;0,950433;899563700
10;cpp;35,42;0,08;42,04;67,05;144,59;3,451350351;0,950196;1316190384
11;cpp;35,38;0,06;41,7;65,99;143,13;3,447858329;0,946661;-34377488
12;cpp;35,61;0,05;41,97;66,42;144,05;3,458439048;0,952377;1800499113
13;cpp;35,23;0,09;41,57;65,76;142,65;3,443801885;0,952799;-95276005
14;cpp;35,59;0,06;41,93;66,26;143,84;3.456957303;0,950961;-706958325
15;cpp;34,77;0,06;41,14;65,19;141,16;3,436182257;0,950302;-1814727213
16;cpp;35,31;0,08;41,62;65,9;142,91;3,449869693;0,953133;-1287225902
17;cpp;35,44;0,09;41,79;65,96;143,28;3,462624105;0,949299;-693208653
18;cpp;34,82;0,06;41,13;65,14;141,15;3,436437493;0,952122;416614276
19;cpp;35,35;0,07;41,64;65,84;142,9;3,439162192;0,950592;1273448497
20;cpp;35,38;0,05;41,7;65,89;143,02;3,461989322;0,950847;1784973053
21;cpp;35,4;0,1;41,73;66,09;143,32;3,47274439;0,95053;718606646
22;cpp;34,94;0,05;41,24;65,41;141,64;3,45406478;0,950258;1408954991
23;cpp;34,54;0,07;40,77;64,68;140,06;3,4344183;0,951603;1304470144
24;cpp;34,67;0,08;40,96;65,1;140,81;3,460051897;0,950979;1508766824
25;cpp;34,58;0,1;40,89;64,92;140,49;3,44605915;0,951673;2057025498
26;cpp;35,3;0,05;41,52;65,76;142,63;3,450600896;0,950495;2065885605
